expert,class,rows,mean_delta,frac_positive
1,benign,800,-0.5015400917761442,0.31625
1,bot,800,0.00017463982929358552,0.98375
1,brute_force,800,5.725463137351935,1.0
1,ddos,800,-0.0006670525893114035,0.125
1,dos,800,1.4020750747970243,0.96625
1,infiltration,800,0.06463951743220306,0.5875
1,web_attacks,381,25.291961256475446,0.7821522309711286
2,benign,800,-0.48174778809867713,0.28125
2,bot,800,0.00018328255382883487,0.99625
2,brute_force,800,5.725464950908802,1.0
2,ddos,800,-0.00012503089072766346,0.21375
2,dos,800,1.4003927996675833,0.9675
2,infiltration,800,0.020005034419087978,0.6325
2,web_attacks,381,27.569532839228113,0.7926509186351706
3,benign,800,-0.2536828780801954,0.4125
3,bot,800,0.00020041385739861763,1.0
3,brute_force,800,-1.2359365516850775,0.0
3,ddos,800,-0.022845701510429903,0.19375
3,dos,800,-0.7615743504232261,0.17
3,infiltration,800,-0.0561783053484168,0.52
3,web_attacks,381,29.33752276341387,0.926509186351706
4,benign,800,-0.33953019106662935,0.46
4,bot,800,0.000122930422338884,0.76875
4,brute_force,800,-2.2761571119753374,0.0
4,ddos,800,-0.00459019129843963,0.025
4,dos,800,-0.6337417104016532,0.1825
4,infiltration,800,-0.3837477867408899,0.4325
4,web_attacks,381,30.306345232106032,0.9658792650918635
