expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.8175,22,36858,0.7744,0.58
2,202121,normgain,0.7989,170,40471,0.7475,0.3551
3,202121,normgain,0.945,946,10172,0.7871,0.7722
4,202121,normgain,0.8031,707,39086,0.765,0.326
