role,branch,count,share_of_role,accuracy
known,all_out,14741,0.05270628785549302,0.0
known,argmin,26429,0.09449660686064888,0.9998864883272163
known,owner_only,238512,0.8527971052838581,0.9936019990608439
known,ALL,279682,1.0,0.9418267889960741
unseen,all_out,27224,0.44928540779615145,1.0
unseen,argmin,32,0.0005281050929134898,0.0
unseen,owner_only,33338,0.5501864871109351,0.0
unseen,ALL,60594,1.0,0.44928540779615145
benign,all_out,2015,0.02015,0.0
benign,argmin,73756,0.73756,0.0
benign,owner_only,24229,0.24229,0.9621115192537868
benign,ALL,100000,1.0,0.23311
