expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,85455,100000,0.85455
brute_force,brute_force,target known,brute_force,99966,100000,0.99966
brute_force,unseen::dos,target unseen,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41293,41542,0.9940060661499206
tail,infiltration,target known,infiltration,36372,37631,0.9665435412293056
tail,infiltration,target known,web_attacks,112,37631,0.0029762695649863144
tail,web_attacks,target known,infiltration,1,509,0.0019646365422396855
tail,web_attacks,target known,web_attacks,326,509,0.6404715127701375
tail,unseen::dos,target unseen,infiltration,2204,60594,0.03637323827441661
tail,unseen::dos,target unseen,web_attacks,5728,60594,0.09453081163151467
tail,benign_diagnostic,benign diagnostic,bot,8,100000,8e-05
tail,benign_diagnostic,benign diagnostic,infiltration,75372,100000,0.75372
tail,benign_diagnostic,benign diagnostic,web_attacks,438,100000,0.00438
