true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
bot,target known,tail,41542,0.005993933850079437,0.9940060661499206,0.0,0.0,0.9940060661499206
brute_force,target known,brute_force,100000,0.00034,0.99966,0.0,0.0,0.99966
ddos,target known,flood,100000,0.14545,0.85455,0.0,0.0,0.85455
infiltration,target known,tail,37631,0.03048018920570806,0.969519810794292,0.0,0.0,0.969519810794292
web_attacks,target known,tail,509,0.3575638506876228,0.6424361493123772,0.0,0.0,0.6424361493123772
unseen::dos,target unseen,,60594,0.5207116216127009,,0.4792883783872991,0.0,0.4792883783872991
benign_diagnostic,benign diagnostic,,100000,0.24182,,0.75818,0.0,0.75818
