expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,ddos,"ddos,dos",True,0.85455,0.0,0.0,0.0,0.0,0.0
brute_force,brute_force,brute_force,True,0.99966,0.0,0.0,0.3483843284813678,0.0,0.0
tail,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",False,0.9801962802138501,0.0,0.0,0.13090404990593127,0.0173801648152043,0.75818
benign,benign,benign,True,0.97067,0.09955949971753635,0.13314447592067988,0.07195431890946298,0.02794569418293529,
