method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1757021,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1757021,1.0,1.0,1.0
xgboost_c0,all,1757021,0.9816951533305521,0.7905982440047715,0.5156768394644661
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1757021,0.9816951533305521,0.7905982440047715,0.5156768394644661
tabpfn_v3,all,1757021,0.9931645666158799,0.7782543618540532,0.4869991279554143
tabpfn_v3,seen_same_label,0,,,
tabpfn_v3,seen_diff_label,0,,,
tabpfn_v3,unseen,1757021,0.9931645666158799,0.7782543618540532,0.4869991279554143
