context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.749958,0.048487,0.048487,0.048487,0.048487,0.048477,0.007619
expert1,0.070267,0.070267,0.070267,0.070267,0.070267,0.621695,0.026969
expert2,0.512356,0.010067,0.104529,0.287109,0.072039,0.010067,0.003834
expert3,0.059896,0.677712,0.059896,0.059896,0.059896,0.059896,0.022809
expert4,0.153216,0.153216,0.153216,0.153216,0.153216,0.156738,0.077182
expert5,0.173591,0.120484,0.120484,0.120484,0.120484,0.298591,0.045882
