expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15709,12761,15709,0,0,0,0,0,15703,6
2,1910608,12761,186000,99839,0,18776,55067,12318,0,0
3,20640,12761,20640,0,20640,0,0,0,0,0
4,292,12761,292,0,0,0,0,0,46,246
5,3840,12761,3840,882,0,0,0,0,2958,0
