expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.4527,0.0002,4.3735
2,0.6329,0.1232,0.4507
3,0.724,0.0017,2.6162
4,0.4959,0.0006,3.3376
5,0.6676,0.0413,2.518
