class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3494019,0,62,8845,1
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,215560,0,0,49312,0
dos,60594,19888,10373,0,30333,2
infiltration,37631,11934,0,0,25697,10
web_attacks,509,234,4,0,271,0
