class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,132694,122306,-10388,3494081,3494019
bot,5,4,-1,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,12,15,3,215560,215560
dos,2,3,1,19888,30261
infiltration,6757,6757,0,11934,11934
web_attacks,2078,2148,70,234,238
