regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,21299,0.1552,16.5,True,0,0,0,0,21299,0,0
2,17610,0.3507,45.1,False,0,0,17610,0,0,0,0
3,15628,0.2852,43.34,False,0,0,0,0,0,15628,0
4,8595,0.113,32.41,False,55,0,0,0,8523,17,0
5,1894517,0.0149,0.02,False,1740926,20651,0,131674,0,1266,0
6,523,0.0023,13.27,False,411,0,0,0,0,0,112
7,140,0.0028,2343.07,False,0,0,0,0,0,0,140
8,41688,0.0759,4.12,True,13,0,39579,0,300,1796,0
