round,expert,tune_pos_coverage,marginal,action
1,1,0.517,0.0227,kept
1,2,0.7533,0.0005,kept
1,3,0.4528,-0.0015,removed
1,4,0.7465,0.0,kept
1,5,0.1176,0.0002,kept
1,6,0.4564,0.0,kept
1,7,0.6814,0.0007,kept
1,8,0.7379,0.0007,kept
2,1,0.517,0.0231,kept
2,2,0.7533,0.0006,kept
2,4,0.7465,-0.0102,removed
2,5,0.1176,0.0002,kept
2,6,0.4564,0.0,kept
2,7,0.6814,0.0008,kept
2,8,0.7379,0.0009,kept
3,1,0.517,0.0239,kept
3,2,0.7533,0.0007,kept
3,5,0.1176,0.0002,kept
3,6,0.4564,-0.0002,kept
3,7,0.6814,-0.0018,removed
3,8,0.7379,0.0011,kept
4,1,0.517,0.0243,kept
4,2,0.7533,0.0007,kept
4,5,0.1176,0.0002,kept
4,6,0.4564,-0.003,removed
4,8,0.7379,0.0011,kept
5,1,0.517,0.0245,kept
5,2,0.7533,0.0008,kept
5,5,0.1176,0.0005,removed
5,8,0.7379,0.003,kept
6,1,0.517,0.0245,kept
6,2,0.7533,0.0008,removed
6,8,0.7379,0.0031,kept
7,1,0.517,0.0249,kept
7,8,0.7379,0.0033,kept
