expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,21299,12761,21299,0,0,0,0,21299,0,0
2,41688,12761,41688,13,0,39579,0,300,1796,0
