run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_011706_nfv3_cic2018_exp23b_greedy,ALL,4023114,190949,0.047463,10668,0.055868,180281,0.944132,1.047463
20260827_011706_nfv3_cic2018_exp23b_greedy,benign,3502926,60764,0.017347,66,0.001086,60698,0.998914,1.017347
20260827_011706_nfv3_cic2018_exp23b_greedy,bot,41542,316,0.007607,46,0.14557,270,0.85443,1.007607
20260827_011706_nfv3_cic2018_exp23b_greedy,brute_force,115040,77352,0.672392,0,0.0,77352,1.0,1.672392
20260827_011706_nfv3_cic2018_exp23b_greedy,ddos,264872,8701,0.03285,161,0.018504,8540,0.981496,1.03285
20260827_011706_nfv3_cic2018_exp23b_greedy,dos,60594,41951,0.692329,10375,0.247312,31576,0.752688,1.692329
20260827_011706_nfv3_cic2018_exp23b_greedy,infiltration,37631,1383,0.036752,10,0.007231,1373,0.992769,1.036752
20260827_011706_nfv3_cic2018_exp23b_greedy,web_attacks,509,482,0.946955,10,0.020747,472,0.979253,1.946955
20260827_011706_nfv3_cic2018_exp23b_greedy,expert1,165734,165734,,5816,0.035092,159918,0.964908,
20260827_011706_nfv3_cic2018_exp23b_greedy,expert2,25215,25215,,4852,0.192425,20363,0.807575,
20260827_011706_nfv3_cic2018_exp23b_greedy,MEASURED_COMPUTE,,,,,,,,2.0257
