K,beta,tune_expert_balanced_nll
2,0.0,2.950608
2,0.5,5.019586
2,1.0,9.563838
4,0.0,1.72183
4,0.5,3.285162
4,1.0,6.750608
8,0.0,2.33553
8,0.5,3.673872
8,1.0,7.27594
