true_class,support,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9992805866189111,1.760032736608901e-05,1.760032736608901e-05,-81.08283996582031,0.5814151167869568,0.0003168058925896022,0.0003168058925896022,-72.73463439941406,0.9479255676269531,0.0003850071611331971,0.0003850071611331971,-14.013925552368164,0.6119285821914673
bot,393,0.06870229007633588,0.0,0.0,-81.16210174560547,0.6363756060600281,0.0,0.0,-72.75569915771484,0.976180911064148,0.9312977099236641,0.9312977099236641,0.06104974076151848,0.9926295876502991
ddos,25606,0.0024994141997969226,0.9975005858002031,0.9975005858002031,0.2243151068687439,0.7594013214111328,0.0,0.0,-72.77677917480469,0.9436510801315308,0.0,0.0,-14.093745231628418,0.5245087146759033
dos-goldeneye,2059,0.06459446333171442,0.9354055366682856,0.9354055366682856,0.02302887663245201,0.9733538031578064,0.0,0.0,-72.69309997558594,0.9657050371170044,0.0,0.0,-13.528704643249512,0.40335172414779663
dos-hulk,46025,0.046626833242802826,0.9533514394350896,0.9533514394350896,0.18797829747200012,0.762495756149292,0.0,0.0,-72.68704223632812,0.955512285232544,2.1727322107550245e-05,2.1727322107550245e-05,-14.047281265258789,0.5008672475814819
dos-slowhttptest,1100,0.28454545454545455,0.7136363636363636,0.7136363636363636,-0.4780605733394623,0.7864457964897156,0.0,0.0,-72.69920349121094,0.9691140055656433,0.0018181818181818182,0.0018181818181818182,-13.465713500976562,0.4346432089805603
dos-slowloris,1159,0.47799827437446074,0.5220017256255393,0.5220017256255393,-0.3584781289100647,0.7332121133804321,0.0,0.0,-72.70231628417969,0.9610310196876526,0.0,0.0,-13.824773788452148,0.400134801864624
ftp-patator,1588,0.012594458438287154,0.0,0.0,-81.0864028930664,0.5988147854804993,0.9867758186397985,0.9867758186397985,0.022564323619008064,0.387912780046463,0.0006297229219143577,0.0006297229219143577,-14.07833194732666,0.3655436933040619
heartbleed,2,1.0,0.0,0.0,-80.857666015625,0.7928676605224609,0.0,0.0,-72.76991271972656,0.9538096189498901,0.0,0.0,-0.3123944103717804,0.5363925099372864
infiltration,7,0.5714285714285714,0.0,0.0,-81.15937042236328,0.6720129251480103,0.0,0.0,-72.77609252929688,0.9836309552192688,0.42857142857142855,0.42857142857142855,-0.027071800082921982,0.8649613261222839
portscan,31786,0.051437739885484175,0.0,0.0,-81.13314056396484,0.5583404898643494,0.9485307997231486,0.9485307997231486,0.04812578856945038,0.9756933450698853,3.146039136726861e-05,3.146039136726861e-05,-14.06727123260498,0.8279784917831421
ssh-patator,1179,0.021204410517387615,0.0,0.0,-81.15292358398438,0.6972248554229736,0.9787955894826124,0.9787955894826124,0.011452746577560902,0.9533590078353882,0.0,0.0,-13.459939956665039,0.46907997131347656
web-attack-�-brute-force,302,0.016556291390728478,0.0,0.0,-79.31795501708984,0.7229686975479126,0.0,0.0,-69.6512680053711,0.972990095615387,0.9834437086092715,0.9834437086092715,0.10582854598760605,0.5045837759971619
web-attack-�-sql-injection,4,0.5,0.25,0.25,-40.9445915222168,0.8450572490692139,0.0,0.0,-72.13330078125,0.9462945461273193,0.25,0.25,-0.6380432844161987,0.38442501425743103
web-attack-�-xss,130,0.07692307692307693,0.0,0.0,-77.97848510742188,0.6752005815505981,0.0,0.0,-70.15654754638672,0.9772963523864746,0.9230769230769231,0.9230769230769231,-0.06369734555482864,0.4957996606826782
