class,rows,proposed,accepted
benign,3502926,221137,895
bot,41542,40714,20538
brute_force,115040,37676,36744
ddos,264872,68563,2
dos,60594,19200,18351
infiltration,37631,12796,70
web_attacks,509,166,50
