expert,accepted,helpful,harmful,precision,net
1,23012,21,13,0.6176,8
2,19835,42,107,0.2819,-65
3,14423,12228,7,0.9994,12221
4,34,3,0,1.0,3
5,13259,549,12,0.9786,537
6,6087,33,34,0.4925,-1
