expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.532,0.0003,6.9147
2,0.7314,0.0007,7.9578
3,0.417,0.0001,12.7122
4,0.5835,0.0227,9.8215
5,0.7157,0.0076,5.4969
6,0.5631,0.0,5.21
