method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.714,0.694,0.0282,0.003411
global_tabpfn,4023114,0.67,0.6512,0.0214,0.003362
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
