a,b,gain_pearson_r
e1,e2,0.9742
e1,e3,0.8863
e1,e4,0.9092
e1,e5,0.9801
e1,e6,0.9914
e2,e3,0.9035
e2,e4,0.929
e2,e5,0.9905
e2,e6,0.9869
e3,e4,0.8824
e3,e5,0.9038
e3,e6,0.8977
e4,e5,0.928
e4,e6,0.9178
e5,e6,0.9898
