K,beta,tune_expert_balanced_nll
2,0.0,3.072603
2,0.5,5.342109
2,1.0,10.330617
4,0.0,2.678687
4,0.5,4.388327
4,1.0,8.019571
8,0.0,1.981719
8,0.5,3.392845
8,1.0,6.974925
