round,expert,coverage,regime_tune_rows,marginal,action
0,3,0.4425,0,,dropped(min-support)
0,8,0.3358,0,,dropped(min-support)
0,1,0.1847,4932,6.7162,kept(prune off)
0,2,0.4942,4769,10.9179,kept(prune off)
0,4,0.3359,94,0.587,kept(prune off)
0,5,0.1835,175571,0.0008,kept(prune off)
0,6,0.5133,16616,0.0,kept(prune off)
0,7,0.219,140,3.7634,kept(prune off)
