class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,112820,59977,-52843,3491149,3490976
bot,4,6,2,41415,41417
brute_force,21118,21118,0,77344,77344
ddos,149,152,3,233026,233028
dos,2,6,4,22107,34928
infiltration,9552,9710,158,12111,12113
web_attacks,2084,42057,39973,233,282
