expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.6805,56358,8222,0.5151,0.0212
2,202122,0.5101,51165,47846,0.5339,-0.0201
3,202122,0.8946,3332,17964,0.5715,0.1716
4,202122,0.8817,15025,8888,0.761,0.0302
5,202122,0.6429,49764,22413,0.5328,0.0868
6,202122,0.8847,11892,11419,0.5135,0.0191
