expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,86846,100000,0.86846
brute_force,brute_force,target known,brute_force,99954,100000,0.99954
brute_force,unseen::dos,target unseen,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41322,41542,0.9947041548312551
tail,ddos,target known,infiltration,693,100000,0.00693
tail,infiltration,target known,infiltration,36333,37631,0.9655071616486407
tail,web_attacks,target known,infiltration,1,509,0.0019646365422396855
tail,unseen::dos,target unseen,infiltration,14046,60594,0.23180512922071492
tail,benign_diagnostic,benign diagnostic,bot,6,100000,6e-05
tail,benign_diagnostic,benign diagnostic,infiltration,77501,100000,0.77501
