role,branch,count,share_of_role,accuracy
known,all_out,13056,0.04668158837536917,0.0
known,argmin,25494,0.09115352435980864,0.9840746842394289
known,owner_only,241132,0.8621648872648222,0.9926803576464344
known,ALL,279682,1.0,0.9455560243419312
unseen,all_out,14139,0.23333993464699476,1.0
unseen,argmin,9078,0.14981681354589563,0.0
unseen,owner_only,37377,0.6168432518071096,0.0
unseen,ALL,60594,1.0,0.23333993464699476
benign,all_out,391,0.00391,0.0
benign,argmin,72575,0.72575,0.0
benign,owner_only,27034,0.27034,0.8567359621217726
benign,ALL,100000,1.0,0.23161
