expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,ddos,"ddos,dos",True,0.86846,0.0,0.0,0.0,,0.0
brute_force,brute_force,brute_force,True,0.99954,0.0,0.0,0.3483843284813678,,0.0
tail,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",False,0.9745739313772245,0.003465,0.00038,0.23180512922071492,,0.77507
benign,benign,benign,True,0.95736,0.09643452206434451,0.12404481374911647,0.33628742119681815,,
