expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
brute_force,brute_force,target known,brute_force,99893,100000,0.99893
brute_force,unseen::dos,target unseen,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41337,41542,0.9950652351836695
tail,bot,target known,infiltration,120,41542,0.002888642819315392
tail,infiltration,target known,infiltration,36738,37631,0.9762695649863145
tail,web_attacks,target known,infiltration,3,509,0.005893909626719057
tail,unseen::ddos,target unseen,infiltration,99181,100000,0.99181
tail,unseen::dos,target unseen,infiltration,17631,60594,0.29096940291117934
tail,benign_diagnostic,benign diagnostic,bot,5,100000,5e-05
tail,benign_diagnostic,benign diagnostic,infiltration,85870,100000,0.8587
