expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
brute_force,brute_force,brute_force,True,0.99893,0.0,0.0,0.13144949375443665,,0.0
tail,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",False,0.9813759694786778,0.0,0.0,0.7273746217168761,,0.85875
benign,benign,benign,True,0.95719,0.1338865328747454,0.15943459518650185,0.6601118348132557,,
