arm,window,quota,model,split,seed,cls,support,predicted,tp,fp,fn,precision,recall,f1
early_legacy,early,legacy,xgboost_c0,val,42,backdoor,40676,40652,40640,12,36,0.9997048115713864,0.9991149572229324,0.9994097973637616
early_legacy,early,legacy,xgboost_c0,val,42,benign,3358442,1628749,1355020,273729,2003422,0.8319391140071306,0.4034668456385431,0.5434000823309153
early_legacy,early,legacy,xgboost_c0,val,42,ddos,828251,1239215,825454,413761,2797,0.666110400535823,0.9966230043791073,0.7985176056099592
early_legacy,early,legacy,xgboost_c0,val,42,dos,40691,93480,38050,55430,2641,0.40703893881044073,0.9350962129217764,0.567186649872178
early_legacy,early,legacy,xgboost_c0,val,42,injection,76355,1474042,67412,1406630,8943,0.04573275388353928,0.8828760395520922,0.0869609525818226
early_legacy,early,legacy,xgboost_c0,val,42,mitm,1202,7393,986,6407,216,0.13336940348978762,0.8202995008319468,0.22943571844095403
early_legacy,early,legacy,xgboost_c0,val,42,password,318955,318368,317880,488,1075,0.9984671826314202,0.9966296185982348,0.9975475543798042
early_legacy,early,legacy,xgboost_c0,val,42,ransomware,794,116038,785,115253,9,0.006765025250349024,0.9886649874055415,0.013438099150917556
early_legacy,early,legacy,xgboost_c0,val,42,scanning,271795,1029,1017,12,270778,0.9883381924198251,0.003741790687834581,0.007455355833797613
early_legacy,early,legacy,xgboost_c0,val,42,xss,566887,585082,519666,65416,47221,0.8881934498070356,0.916701212058135,0.9022221952153227
early_legacy,early,legacy,xgboost_c0,test,42,backdoor,40678,42089,40612,1477,66,0.9649076955974245,0.9983775013520823,0.9813573042396124
early_legacy,early,legacy,xgboost_c0,test,42,benign,3358444,2594494,2320018,274476,1038426,0.8942082733665987,0.690801454483088,0.779453103660747
early_legacy,early,legacy,xgboost_c0,test,42,ddos,828252,912044,819578,92466,8674,0.898616733403213,0.989527341920092,0.941883449712003
early_legacy,early,legacy,xgboost_c0,test,42,dos,40692,104300,38262,66038,2430,0.3668456375838926,0.9402831023296963,0.5277808430809976
early_legacy,early,legacy,xgboost_c0,test,42,injection,76356,593348,68299,525049,8057,0.11510782879524327,0.8944811147781445,0.20396772305376704
early_legacy,early,legacy,xgboost_c0,test,42,mitm,1204,48242,1176,47066,28,0.024377098793582356,0.9767441860465116,0.04756704283460745
early_legacy,early,legacy,xgboost_c0,test,42,password,318956,476770,317664,159106,1292,0.6662835329404115,0.9959492845408144,0.7984255887076708
early_legacy,early,legacy,xgboost_c0,test,42,ransomware,795,19380,772,18608,23,0.03983488132094943,0.9710691823899371,0.07653035935563816
early_legacy,early,legacy,xgboost_c0,test,42,scanning,271796,123,102,21,271694,0.8292682926829268,0.0003752814610958219,0.0007502234121190502
early_legacy,early,legacy,xgboost_c0,test,42,xss,566887,713270,517816,195454,49071,0.7259747360746982,0.9134377750768672,0.8089882725321972
early_legacy,early,legacy,tabpfn,val,42,backdoor,40676,40618,40618,0,58,1.0,0.9985740977480578,0.9992865402120698
early_legacy,early,legacy,tabpfn,val,42,benign,3358442,2157434,1881785,275649,1476657,0.8722329396866834,0.5603148721937137,0.6823159186319634
early_legacy,early,legacy,tabpfn,val,42,ddos,828251,1192022,826292,365730,1959,0.6931851928907352,0.99763477496556,0.8180003395580696
early_legacy,early,legacy,tabpfn,val,42,dos,40691,80542,37812,42730,2879,0.4694693451863624,0.9292472536924627,0.6237905520774046
early_legacy,early,legacy,tabpfn,val,42,injection,76355,1015768,68413,947355,7942,0.06735100928558489,0.8959858555431864,0.12528442309153823
early_legacy,early,legacy,tabpfn,val,42,mitm,1202,94224,1009,93215,193,0.010708524367464764,0.8394342762063228,0.021147276423616204
early_legacy,early,legacy,tabpfn,val,42,password,318955,318137,317761,376,1194,0.9988181192379384,0.9962565252151557,0.9975356777357116
early_legacy,early,legacy,tabpfn,val,42,ransomware,794,29594,772,28822,22,0.02608636885855241,0.9722921914357683,0.050809530077662236
early_legacy,early,legacy,tabpfn,val,42,scanning,271795,80,80,0,271715,1.0,0.00029433948380213026,0.0005885057471264368
early_legacy,early,legacy,tabpfn,val,42,xss,566887,575629,518329,57300,48558,0.9004567177817657,0.9143427173316728,0.9073465929579979
early_legacy,early,legacy,tabpfn,test,42,backdoor,40678,40680,40608,72,70,0.9982300884955753,0.9982791681006933,0.9982546276948794
early_legacy,early,legacy,tabpfn,test,42,benign,3358444,2789534,2513262,276272,845182,0.9009612358193161,0.7483411961015279,0.8175897831774934
early_legacy,early,legacy,tabpfn,test,42,ddos,828252,842155,821722,20433,6530,0.9757372455189366,0.9921159260708093,0.9838584249227883
early_legacy,early,legacy,tabpfn,test,42,dos,40692,83260,38117,45143,2575,0.4578068700456402,0.9367197483534847,0.6150283980895831
early_legacy,early,legacy,tabpfn,test,42,injection,76356,462264,69133,393131,7223,0.14955306924181852,0.9054036356016554,0.25670416991571054
early_legacy,early,legacy,tabpfn,test,42,mitm,1204,149101,1193,147908,11,0.008001287717721545,0.9908637873754153,0.015874388742889458
early_legacy,early,legacy,tabpfn,test,42,password,318956,438069,317504,120565,1452,0.7247807993717884,0.9954476479514416,0.8388203824180179
early_legacy,early,legacy,tabpfn,test,42,ransomware,795,14977,730,14247,65,0.04874140348534419,0.9182389937106918,0.09256910981486179
early_legacy,early,legacy,tabpfn,test,42,scanning,271796,0,0,0,271796,0.0,0.0,0.0
early_legacy,early,legacy,tabpfn,test,42,xss,566887,684020,520059,163961,46828,0.7602979445045467,0.9173944719141557,0.8314910700795503
