expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15781,12761,15781,0,0,0,0,0,15781,0
2,1929498,12761,186000,121396,20642,7385,25367,11210,0,0
3,4242,12761,4242,1316,0,0,0,0,2926,0
