true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9972059480306333,0.00017160319181936783,0.0008910165729082561,0.0008668161227798837,-0.008473317138850689,0.0012444132007658482,0.000818415222523139,0.000453208429676792,-0.018476609140634537,0.0024797806981951,0.002472845994935506,0.0013024242250905867,0.00344580365344882,0.0020730742253363132
bot,393,0.007633587786259542,0.002544529262086514,0.002544529262086514,0.0,-5.44485330581665,0.46394553780555725,0.21119592875318066,0.0,-4.392935752868652,0.9314966797828674,0.989821882951654,0.989821882951654,2.459446668624878,0.9868008494377136
ddos,25606,0.0,0.0,0.9997266265718973,0.9997266265718973,6.548417091369629,0.3386569619178772,0.00039053346871826915,0.0,-10.665573120117188,0.9028863906860352,0.9999218933062564,0.0002733734281027884,1.3781569004058838,0.5964420437812805
dos-goldeneye,2059,0.0,0.0009713453132588635,0.9907722195240408,0.9907722195240408,5.670374393463135,0.9700248837471008,0.0,0.0,-9.137405395507812,0.9328218698501587,0.23312287518212724,0.00825643516270034,-0.008012576028704643,0.7471476197242737
dos-hulk,46025,0.0,0.00045627376425855514,0.9959587180879956,0.9959587180879956,6.055944442749023,0.6760923862457275,0.0,0.0,-11.830460548400879,0.9078615307807922,0.714155350353069,0.00358500814774579,0.8659716248512268,0.7844467759132385
dos-slowhttptest,1100,0.0009090909090909091,0.0036363636363636364,0.9845454545454545,0.9845454545454545,3.9626145362854004,0.5602921843528748,0.0,0.0,-6.472261905670166,0.9279018044471741,0.81,0.01090909090909091,0.20454786717891693,0.9637826085090637
dos-slowloris,1159,0.0025884383088869713,0.001725625539257981,0.9620362381363244,0.9620362381363244,3.645020008087158,0.5723108053207397,0.0,0.0,-8.251436233520508,0.9108902812004089,0.9352890422778257,0.03364969801553063,0.3284761905670166,0.8593569397926331
ftp-patator,1588,0.0,0.0006297229219143577,0.0,0.0,-4.199363708496094,0.4296870827674866,0.9924433249370277,0.9924433249370277,1.5276368856430054,0.3882284164428711,0.48614609571788414,0.0069269521410579345,-0.1265096813440323,0.8708938360214233
heartbleed,2,0.0,0.0,0.0,0.0,-2.248974323272705,0.7712641954421997,0.0,0.0,-7.993355751037598,0.95354163646698,1.0,1.0,1.998464584350586,0.38029399514198303
infiltration,7,0.0,0.0,0.14285714285714285,0.0,-1.819182276725769,0.5412251353263855,0.0,0.0,-2.618263006210327,0.9775930643081665,1.0,1.0,2.0324339866638184,0.9991552233695984
portscan,31786,6.292078273453722e-05,0.0019190838734033852,0.00040898508777449194,0.0003775246964072233,-5.408130645751953,0.3547591269016266,0.9834518341408167,0.9833889133580822,2.3575446605682373,0.8977680802345276,0.7568111747310137,0.01425155728937268,1.4006505012512207,0.8662625551223755
ssh-patator,1179,0.0,0.018659881255301103,0.002544529262086514,0.002544529262086514,-5.488401412963867,0.4680182933807373,0.9711620016963528,0.9686174724342663,0.6127039790153503,0.9888361096382141,0.33078880407124683,0.010178117048346057,-0.24985268712043762,0.9596148133277893
web-attack-�-brute-force,302,0.0,0.006622516556291391,0.10596026490066225,0.0695364238410596,-1.9489357471466064,0.4298015832901001,0.0,0.0,-3.675478935241699,0.9318006634712219,0.9900662251655629,0.9238410596026491,0.5436944961547852,0.8992921710014343
web-attack-�-sql-injection,4,0.0,0.0,0.5,0.25,-2.639063835144043,0.6935406923294067,0.0,0.0,-12.478045463562012,0.9146432876586914,1.0,0.75,1.202378749847412,0.5055878758430481
web-attack-�-xss,130,0.0,0.05384615384615385,0.038461538461538464,0.007692307692307693,-2.18015456199646,0.36712968349456787,0.0,0.0,-3.0233397483825684,0.9373207688331604,0.9461538461538461,0.9384615384615385,0.40940529108047485,0.8232393860816956
