class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,benign_gate_rate,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,meta_router_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
benign,454537,benign_default,benign_false_accept,0.9987217762250378,0.9973775512224528,0.999346179331782,0.9985418727024032,-0.0008043066293788037,0.9972059480306333,0.00017160319181936783,,,0.0026224487775472626,,0.0026224487775472626,,0.001553228890057355,0.001553228890057355,0.0,,,
web-attack-�-xss,130,WebBot_Rare,gate_reject,0.5230769230769231,0.5384615384615384,0.44299674267100975,0.2587800369685767,-0.18421670570243304,0.0,0.05384615384615385,0.9461538461538461,0.9384615384615385,0.007692307692307693,0.5737704918032787,0.4076923076923077,0.4,0.038461538461538464,0.038461538461538464,0.0,0.40940529108047485,0.8232393860816956,0.7023429274559021
dos-hulk,46025,DoS_DDoS,ok,0.999369907658881,0.9959587180879956,0.9986213484731705,0.9946836212134363,-0.003937727259734181,0.0,0.00045627376425855514,0.9959587180879956,0.9959587180879956,0.00358500814774579,1.0,0.00358500814774579,0.0,0.7105703422053232,0.7105703422053232,0.0,6.055944442749023,0.6760923862457275,0.9997219443321228
ddos,25606,DoS_DDoS,ok,0.9999609466531282,0.9997266265718973,0.999648629655657,0.998946382580192,-0.0007022470754650678,0.0,0.0,0.9997266265718973,0.9997266265718973,0.0002733734281027884,1.0,0.0002733734281027884,0.0,0.9996485198781535,0.9996485198781535,0.0,6.548417091369629,0.3386569619178772,0.9999482035636902
dos-goldeneye,2059,DoS_DDoS,ok,0.9985429820301117,0.9898008742107819,0.9894128970163619,0.9807507218479307,-0.008662175168431263,0.0,0.0009713453132588635,0.9907722195240408,0.9907722195240408,0.00825643516270034,0.9990196078431373,0.009227780475959204,0.0009713453132589311,0.2248664400194269,0.2248664400194269,0.0,5.670374393463135,0.9700248837471008,0.999351978302002
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9924433249370277,0.9993702770780857,0.9962073324905183,-0.0031629445875673845,0.0,0.0006297229219143577,0.9924433249370277,0.9924433249370277,0.0069269521410579345,1.0,0.0069269521410579345,0.0,0.4792191435768262,0.4792191435768262,0.0,1.5276368856430054,0.3882284164428711,0.9999844431877136
bot,393,WebBot_Rare,ok,0.989821882951654,0.989821882951654,0.790650406504065,0.7409523809523809,-0.04969802555168412,0.007633587786259542,0.002544529262086514,0.989821882951654,0.989821882951654,0.0,1.0,0.0,0.0,0.21374045801526717,0.21374045801526717,0.0,2.459446668624878,0.9868008494377136,0.9913042783737183
infiltration,7,WebBot_Rare,ok,1.0,1.0,0.9333333333333333,0.21212121212121213,-0.7212121212121212,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2.0324339866638184,0.9991552233695984,0.9984973073005676
heartbleed,2,WebBot_Rare,ok,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.998464584350586,0.38029399514198303,0.999081015586853
portscan,31786,Scan_Brute,wrong_expert,0.9996853960863273,0.9833889133580822,0.9966283500870357,0.988395256916996,-0.008233093170039618,6.292078273453722e-05,0.0019190838734033852,0.9834518341408167,0.9833889133580822,0.014629081985779903,1.0,0.014629081985779903,0.0,0.7426539986157428,0.7426539986157428,0.0,2.3575446605682373,0.8977680802345276,0.9999179244041443
ssh-patator,1179,Scan_Brute,wrong_expert,1.0,0.9686174724342663,0.9995760915642221,0.984058595433003,-0.01551749613121911,0.0,0.018659881255301103,0.9711620016963528,0.9686174724342663,0.01272264631043257,1.0,0.01272264631043257,0.0,0.3231552162849873,0.3231552162849873,0.0,0.6127039790153503,0.9888361096382141,0.9999696612358093
dos-slowloris,1159,DoS_DDoS,wrong_expert,0.996548748921484,0.9620362381363244,0.9888698630136986,0.9763572679509632,-0.012512595062735388,0.0025884383088869713,0.001725625539257981,0.9620362381363244,0.9620362381363244,0.03364969801553063,1.0,0.03364969801553063,0.0,0.9016393442622951,0.9016393442622951,0.0,3.645020008087158,0.5723108053207397,0.9943880438804626
dos-slowhttptest,1100,DoS_DDoS,wrong_expert,0.990909090909091,0.9827272727272728,0.9873188405797102,0.9840691852526172,-0.0032496553270929818,0.0009090909090909091,0.0036363636363636364,0.9845454545454545,0.9845454545454545,0.01090909090909091,0.9981532779316713,0.012727272727272728,0.0018181818181817189,0.7990909090909091,0.7990909090909091,0.0,3.9626145362854004,0.5602921843528748,0.9969130754470825
web-attack-�-brute-force,302,WebBot_Rare,wrong_expert,0.7019867549668874,0.6059602649006622,0.729776247848537,0.4621212121212121,-0.2676550357273249,0.0,0.006622516556291391,0.9900662251655629,0.9238410596026491,0.0695364238410596,0.6559139784946236,0.38741721854304634,0.3178807947019868,0.10264900662251655,0.10264900662251655,0.0,0.5436944961547852,0.8992921710014343,0.7619855403900146
web-attack-�-sql-injection,4,WebBot_Rare,wrong_expert,0.25,0.5,0.25,0.00808080808080808,-0.24191919191919192,0.0,0.0,1.0,0.75,0.25,0.6666666666666666,0.5,0.25,0.5,0.5,0.0,1.202378749847412,0.5055878758430481,0.9616090059280396
