expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.00700608618314354,0.09847309440374374,0.9990476439653594,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
1,Balanced_Global,0.0001634898767068343,0.06071082875132561,0.9976452735407236,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
2,Tail_Expert,0.9176621383603927,0.7511163353919983,0.9996085005017811,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14"
3,Spec_Group1_volume,0.0007215353225328287,0.00681653106585145,0.8933594445433506,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
4,Spec_Group2_timing,0.0010179969656278884,0.004393449053168297,0.7728743624920148,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
5,Spec_Group3_packet,0.00031826029332263745,0.010457050055265427,0.828625185917077,"0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14"
6,Spec_Group4_tcp,0.06938728353940324,0.051582396030426025,0.7237482851427913,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
7,Rand_1_volume,0.0010463352109237396,0.00800845306366682,0.9779163582725732,"1, 2, 3, 4, 5, 6, 8, 9, 10"
8,Rand_2_packet,0.0026223776223776225,0.004513334948569536,0.8365224119825346,"0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14"
9,Rand_3_volume,5.449662556894477e-05,0.003928316291421652,0.915677208906538,"0, 1, 5, 6, 9, 10, 11, 12, 13, 14"
