class,winner,rows
ddos,flood,799
bot,bf_bot,797
dos,flood,706
benign,benign,558
brute_force,flood,535
web_attacks,tail,465
infiltration,tail,301
infiltration,benign,295
brute_force,bf_bot,217
benign,tail,194
infiltration,flood,193
dos,tail,94
brute_force,tail,48
benign,bf_bot,29
web_attacks,benign,24
benign,flood,19
infiltration,bf_bot,11
web_attacks,flood,11
web_attacks,bf_bot,9
bot,benign,3
ddos,bf_bot,1
