expert,class,rows,mean_delta,frac_positive
1,benign,100000,-0.19029575090488512,0.02033
1,bot,31156,-1.755567651127945,0.0
1,brute_force,86279,55.29792531570579,1.0
1,ddos,100000,-0.07766060338007771,0.0
1,dos,45446,32.81617724273475,0.9897680763983628
1,infiltration,28224,19.564956952149714,0.532454648526077
1,web_attacks,381,-623.4170206091095,0.29396325459317585
2,benign,100000,-0.21006800146987317,0.10641
2,bot,31156,1.2363674052310254,1.0
2,brute_force,86279,56.07902017430611,1.0
2,ddos,100000,0.0047208573547591155,0.989
2,dos,45446,33.10514738403248,0.9999119834528891
2,infiltration,28224,20.016237223820685,0.8922548185941043
2,web_attacks,381,-1280.9584410016269,0.12073490813648294
3,benign,100000,-0.19903432988333242,0.0312
3,bot,31156,1.2362143124536715,1.0
3,brute_force,86279,56.07883547339823,1.0
3,ddos,100000,0.004945330920710047,0.98849
3,dos,45446,33.10464486744739,0.9987237600668926
3,infiltration,28224,15.80549790670452,0.5313562925170068
3,web_attacks,381,609.113764776973,0.4330708661417323
4,benign,100000,-0.19353410112262806,0.04067
4,bot,31156,1.2254118547555128,1.0
4,brute_force,86279,56.07118253535388,1.0
4,ddos,100000,0.003167446799349982,0.84479
4,dos,45446,33.11215910720424,0.9996039255380011
4,infiltration,28224,19.981642554032153,0.5254747732426304
4,web_attacks,381,-131.96357304683664,0.1889763779527559
