expert,anchor_rows,block_rows,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),12761,0,0.0,2000,2000,2000,2000,2000,2000,761
1,12761,186000,14.9,59221,20625,57189,684,30122,17907,252
2,12761,186000,15.0,59901,20612,57189,1,30122,17923,252
3,12761,186000,14.9,62027,20146,57189,0,30008,16378,252
4,12761,186000,14.9,59971,20601,57189,0,30084,17903,252
