mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate
gaussian,0.01,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9951162338256836,0.0
gaussian,0.01,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-hulk,0.7462877035140991,0.5218501984126984
gaussian,0.01,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.986059844493866,0.4412698412698412
gaussian,0.01,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9979435801506042,0.2404265873015873
gaussian,0.01,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8016073107719421,0.47103174603174597
gaussian,0.01,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,web-attack-�-sql-injection,0.7157741189002991,0.3655257936507937
gaussian,0.01,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9181990623474121,0.0
gaussian,0.01,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.8035389184951782,0.2426315789473684
gaussian,0.01,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9823585748672485,0.39815789473684216
gaussian,0.01,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9981669187545776,0.3721052631578947
gaussian,0.01,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,web-attack-�-xss,0.7032704949378967,0.6181578947368422
gaussian,0.01,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,web-attack-�-sql-injection,0.7425171136856079,0.321842105263158
gaussian,0.01,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9492717981338501,0.0
gaussian,0.01,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-slowloris,0.7347224950790405,0.4817241379310345
gaussian,0.01,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9511300325393677,0.2093103448275862
gaussian,0.01,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9981856346130371,0.022758620689655173
gaussian,0.01,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8624641299247742,0.1693103448275862
gaussian,0.01,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.6904551982879639,0.4662068965517242
gaussian,0.01,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.8825732469558716,0.0
gaussian,0.01,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-slowloris,0.7294184565544128,0.5277777777777777
gaussian,0.01,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9948675036430359,0.45
gaussian,0.01,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ftp-patator,0.9979124069213867,0.47777777777777775
gaussian,0.01,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,web-attack-�-brute-force,0.7702169418334961,0.45555555555555555
gaussian,0.01,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.7708319425582886,0.07222222222222222
