method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1757021,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1757021,1.0,1.0,1.0
xgboost_c0,all,1757021,0.9823878029915408,0.7918665202342101,0.5190582312125037
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1757021,0.9823878029915408,0.7918665202342101,0.5190582312125037
tabpfn_v3,all,1757021,0.9933882406641696,0.7975146666895263,0.5309524959969814
tabpfn_v3,seen_same_label,0,,,
tabpfn_v3,seen_diff_label,0,,,
tabpfn_v3,unseen,1757021,0.9933882406641696,0.7975146666895263,0.5309524959969814
