Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
airplane,0.962,0.6269143043336591,0.98,0.7086044830079538,0.918,0.29873088187438984
automobile,0.957,0.7556257402289775,0.986,0.8348856900931414,0.636,0.35451505016722407
bird,0.808,0.6879523201362282,0.869,0.7950594693504117,0.301,0.24896608767576509
cat,0.709,0.5587076438140268,0.842,0.6907301066447908,0.117,0.17005813953488372
deer,0.668,0.6823289070480082,0.85,0.8325171400587659,0.148,0.2103766879886283
dog,0.51,0.5961426066627703,0.623,0.7202312138728324,0.035,0.06647673314339982
frog,0.588,0.7110036275695284,0.716,0.8192219679633868,0.01,0.019762845849802372
horse,0.493,0.6402597402597403,0.652,0.7757287328970851,0.0,0.0
ship,0.351,0.5169366715758469,0.504,0.6640316205533597,0.0,0.0
truck,0.277,0.4294573643410853,0.519,0.6788750817527796,0.0,0.0
