true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0026549977875018438,0.996607502827081,0.0004916662569447858,0.0002458331284723929,0.9975908353409706
ddos,target known,flood,100000,0.00039,0.9875,0.0038,0.00831,1.00792
dos,target known,flood,40692,0.020249680526884892,0.8856531996461221,0.07340509190995773,0.02069202791703529,1.0004423473901505
injection,target known,application,76356,0.020548483419770548,0.9406202525014407,0.033893865577033895,0.004937398501754937,0.9843889150819843
mitm,target known,stealth_malware,1204,0.8978405315614618,0.0,0.10132890365448505,0.0008305647840531562,0.10299003322259136
ransomware,target known,stealth_malware,795,0.9257861635220126,0.0,0.06415094339622641,0.010062893081761006,0.08427672955974842
xss,target known,application,100000,0.00635,0.95622,0.02163,0.0158,1.00945
unseen::password,target unseen,,100000,0.15264,,0.77081,0.07655,0.92391
unseen::scanning,target unseen,,100000,0.08602,,0.53563,0.37835,1.29233
benign_diagnostic,benign diagnostic,,100000,0.11319,,0.67002,0.21679,1.1036
