role,branch,count,share_of_role,accuracy
known,all_out,4551,0.012651330877753839,0.0
known,argmin,10525,0.029258461324622977,0.6170071258907364
known,owner_only,344649,0.9580902077976232,0.9683010831309535
known,ALL,359725,1.0,0.9457724650774898
unseen,all_out,1102,0.00551,1.0
unseen,argmin,108890,0.54445,0.0
unseen,owner_only,90008,0.45004,0.0
unseen,ALL,200000,1.0,0.00551
benign,all_out,2486,0.02486,0.0
benign,argmin,82878,0.82878,0.9701126957696855
benign,owner_only,14636,0.14636,0.4641295435911451
benign,ALL,100000,1.0,0.87194
