true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
dos,flood,application,3829,40692,0.21990075737790546,0.6022460172368764,0.21990075737790546,-0.7857612371444702,-0.9438999891281128,-0.5641081929206848,-0.10373998433351517
xss,application,flood,3743,100000,0.4221212930804168,0.03232701041944964,0.03232701041944964,-0.1229618564248085,-0.10373998433351517,-1.1667882204055786,-0.9438999891281128
injection,application,flood,2965,76356,0.12715008431703204,0.0209106239460371,0.0209106239460371,1.359173059463501,-0.10373998433351517,-2.1080775260925293,-0.9438999891281128
ddos,flood,application,1211,100000,0.6862097440132122,0.6837324525185797,0.6606110652353427,-1.6969658136367798,-0.9438999891281128,-1.0337860584259033,-0.10373998433351517
mitm,stealth_malware,flood,99,1204,0.0,0.98989898989899,0.0,-4.002311706542969,-5.798752307891846,-1.37493097782135,-0.9438999891281128
ransomware,stealth_malware,application,34,795,0.0,1.0,0.0,-3.5226359367370605,-5.798752307891846,-0.8541112542152405,-0.10373998433351517
ransomware,stealth_malware,flood,33,795,0.0,1.0,0.0,-3.730448007583618,-5.798752307891846,-2.6952178478240967,-0.9438999891281128
mitm,stealth_malware,application,25,1204,0.0,1.0,0.0,-4.024631023406982,-5.798752307891846,-0.8094950318336487,-0.10373998433351517
backdoor,stealth_malware,application,22,40678,0.0,1.0,0.0,-3.351928472518921,-5.798752307891846,-1.3405652046203613,-0.10373998433351517
backdoor,stealth_malware,flood,18,40678,0.0,1.0,0.0,-3.353947639465332,-5.798752307891846,-1.401466965675354,-0.9438999891281128
