true_class,backdoor,benign,ddos,dos,injection,unseen,xss
backdoor,40540,66,2,2,0,62,6
benign,2,87194,3308,433,1030,2486,5547
ddos,0,135,99390,84,155,26,210
dos,0,414,0,36505,1,805,2967
injection,0,594,1248,1459,69419,1475,2161
mitm,0,260,12,41,7,874,10
ransomware,0,57,23,0,0,689,26
unseen,49756,74416,8048,21,64819,1102,1838
xss,0,1198,360,3128,330,620,94364
