class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.9194479838875416,0.89477,0.9069411502361694,,0.89477,0.5158133333333333,0.76027,0.69227,2e-05,0.89477
ddos,flood,False,False,100000,0.9876584852874065,0.99554,0.991583581509776,0.980777761348514,0.99495,0.9878130507086301,-0.003770530801145866,0.99581,0.9795166666666667,0.99581,0.01211,0.0,0.04934
xss,application,False,False,100000,0.9091133997947515,0.99217,0.9488275571876673,0.9288530345614826,0.96832,0.9481760008616933,-0.0006515563259740231,0.97202,0.9826533333333334,0.03743,0.97202,0.0,0.01461
injection,application,False,False,76356,0.9961702898046152,0.9368222536539368,0.9655852000836916,0.9905226758498997,0.9116113992351617,0.9494301945726971,-0.01615500551099458,0.9455576510031956,0.9843190668273177,0.038831264078788834,0.9455576510031956,0.0,0.008211535439258212
dos,flood,False,False,40692,0.9435199050659735,0.8206527081490219,0.87780771505553,0.8807402985074627,0.9063452275631574,0.8933593324209429,0.015551617365412884,0.9063452275631574,0.965087322651463,0.9063452275631574,0.09409711982699302,0.0,0.01064091221861791
backdoor,stealth_malware,True,False,40678,0.9999507922448578,0.9991150007374994,0.999532721772706,1.0,0.996607502827081,0.9983008692654338,-0.001231852507272202,0.996607502827081,0.9991313896127308,0.0004424996312503073,0.0005408328826392645,0.996607502827081,0.0016224986479177934
mitm,stealth_malware,True,False,1204,0.8982905982905983,0.8729235880398671,0.8854254422914911,0.0,0.0,0.0,-0.8854254422914911,0.0,0.8934108527131782,0.08222591362126246,0.020764119601328904,0.0,0.21677740863787376
ransomware,stealth_malware,True,False,795,0.9845559845559846,0.9622641509433962,0.9732824427480916,0.0,0.0,0.0,-0.9732824427480916,0.0,0.9480083857442348,0.04150943396226415,0.042767295597484274,0.0,0.07169811320754717
macro_avg,,,,359725,0.9598942078634554,0.9399268145033888,0.9488635229498505,0.6829848243239084,0.6825477328036286,0.6824399211184853,-0.2664236018313652,,,,,,
tail_macro_avg,,,,42677,0.9609324583638136,0.944767579906921,0.9527468689374295,0.3333333333333333,0.3322025009423603,0.33276695642181126,-0.6199799125156183,,,,,,
weighted_avg,,,,359725,0.9637215688330858,0.9622767391757593,0.9618121975930174,0.9538189262771847,0.9544930154979498,0.9536592058063175,-0.008152991786699888,,,,,,
