method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,4023110,0.9902776707572003,0.8563678810225782,0.7641222915384948
realistic_oracle,seen_same_label,1955921,0.9994263571994983,0.8578081634671725,0.6683263205305172
realistic_oracle,seen_diff_label,48156,0.2196403355760445,0.20193329978305935,0.3059489441139447
realistic_oracle,unseen,2019033,0.9997954466321254,0.9962908983308616,0.9913847360996336
xgboost_c0,all,4023110,0.9813934990591856,0.7524630997930005,0.5259148780773609
xgboost_c0,seen_same_label,1955921,0.9958433904027821,0.9028137258963739,0.7743268380271986
xgboost_c0,seen_diff_label,48156,0.098056316969848,0.058459795625668165,0.041740108305989405
xgboost_c0,unseen,2019033,0.9884637843957974,0.7812579632801074,0.4950462275172722
tabpfn_v3,all,4023110,0.9863262500901044,0.7631468107212716,0.549983440783869
tabpfn_v3,seen_same_label,1955921,0.9991973090937722,0.9525875813300446,0.8895721333598815
tabpfn_v3,seen_diff_label,48156,0.13088711687017193,0.06788018828166173,0.03336178902209909
tabpfn_v3,unseen,2019033,0.99426061882099,0.7799654960222029,0.4910236339176545
