class,margin_p10,margin_p50,margin_p90
benign,0.768,2.658,6.632
bot,9.332,10.464,11.019
brute_force,1.363,1.363,7.877
ddos,6.061,9.859,12.101
dos,1.363,7.221,9.876
infiltration,0.545,1.707,3.506
web_attacks,2.191,6.57,8.651
