true_group,act_benign,act_flood,act_bf_bot,act_tail
benign,0.9588,0.0001,0.0,0.0411
flood,0.0074,0.8154,0.1736,0.0036
bf_bot,0.0001,0.0,0.9985,0.0014
tail,0.6393,0.0013,0.0008,0.3586
