method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,120518,0.8326,0.879,0.0343,0.31235
global_tabpfn,120518,0.8326,0.879,0.0343,0.31235
xgboost,120518,0.865,0.8982,0.0095,0.3343
