expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.2831,0.0666,0.336
2,0.7342,0.0383,0.1186
3,0.351,0.0395,0.2394
4,0.6574,0.001,0.1019
5,0.6578,0.0022,0.1123
