bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,12929,12929,True,False
residual,2,61047,61047,True,False
residual,3,8659,8659,True,False
residual,4,380,380,True,False
residual,5,2034,2034,True,False
random,1,12929,12929,False,False
random,2,61047,61047,False,False
random,3,8659,8659,False,False
random,4,380,380,False,False
random,5,2034,2034,False,False
proximity,1,12929,12929,False,False
proximity,2,61047,61047,False,False
proximity,3,8659,8659,False,False
proximity,4,380,380,False,False
proximity,5,2034,2034,False,False
regime_random,1,12929,12929,True,False
regime_random,2,61047,61047,True,False
regime_random,3,8659,8659,True,False
regime_random,4,380,380,True,False
regime_random,5,2034,2034,True,False
