expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,12929,12761,12929,0,0,0,0,0,12929,0
2,61047,12761,61047,6291,14993,14999,14999,9765,0,0
3,8659,12761,8659,8659,0,0,0,0,0,0
4,380,12761,380,0,0,0,0,0,0,380
5,2034,12761,2034,0,0,0,0,1,2033,0
