a,b,gain_pearson_r
e1,e2,0.3738
e1,e3,0.5505
e1,e4,0.9166
e1,e5,0.8197
e2,e3,0.4382
e2,e4,0.4365
e2,e5,0.5499
e3,e4,0.6386
e3,e5,0.6499
e4,e5,0.9116
