K,beta,tune_expert_balanced_nll
2,0.0,0.233797
2,0.5,0.280113
2,1.0,0.384343
4,0.0,0.304939
4,0.5,0.282074
4,1.0,0.343932
8,0.0,0.207156
8,0.5,0.216901
8,1.0,0.268514
