class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,8427,8427,0,13753,13753
bot,1,1,0,19932,19932
brute_force,6976,6976,0,19998,19998
ddos,5,5,0,17037,17037
dos,5,5,0,12830,12830
infiltration,6263,6263,0,14665,14665
web_attacks,159,159,0,467,467
