expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.766,4744,6536,0.5956,0.6252
2,48196,normgain,0.5539,789,20712,0.6872,0.3824
3,48196,normgain,0.6785,3712,11783,0.7374,0.2363
4,48196,normgain,0.6761,2019,13594,0.6114,0.5008
5,48196,normgain,0.603,2792,16344,0.595,0.4724
