expert,accepted,helpful,harmful,precision,net
1,47840,87,50,0.635,37
2,12334,31,120,0.2053,-89
3,9244,8022,12,0.9985,8010
4,17,13,0,1.0,13
5,5199,68,51,0.5714,17
6,12093,22,117,0.1583,-95
