a,b,agreement
global,e1,0.4849
global,e2,0.5424
global,e3,0.5323
global,e4,0.6763
global,e5,0.545
global,e6,0.5259
e1,e2,0.8459
e1,e3,0.8472
e1,e4,0.7132
e1,e5,0.8623
e1,e6,0.8982
e2,e3,0.9612
e2,e4,0.846
e2,e5,0.9015
e2,e6,0.8848
e3,e4,0.848
e3,e5,0.9035
e3,e6,0.8811
e4,e5,0.7909
e4,e6,0.7486
e5,e6,0.9418
