class,rows,proposed,accepted
benign,3502926,14479,3276
bot,41542,40976,31873
brute_force,115040,37690,37668
ddos,264872,106735,96
dos,60594,14292,13579
infiltration,37631,8580,126
web_attacks,509,426,109
