expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.9334,1767,11690,0.5903,0.0125
2,202122,0.6796,49941,14817,0.567,-0.0789
3,202122,0.8724,1386,24407,0.8555,0.1644
4,202122,0.9261,3594,11333,0.8065,0.0592
5,202122,0.8037,2908,36765,0.8569,-0.0227
6,202122,0.9159,1851,15138,0.8437,0.0443
