class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,112820,62331,-50489,3491149,3490799
bot,4,4,0,41415,41415
brute_force,21118,21118,0,77344,77344
ddos,149,155,6,233026,233031
dos,2,20,18,22107,30234
infiltration,9552,9840,288,12111,12115
web_attacks,2084,44368,42284,233,340
